title,sector,document_type,publication_date,page_url,pdf_url,language,source_page,crawl_timestamp,pdf_file,pdf_sha256,text_file
Framework on the Use of Real-World Data (RWD) and Real-World Evidence (RWE) to Support Effectiveness and Safety for Marketing Authorization of Medicinal Products,Drugs,Guide,2026-04-20,https://www.sfda.gov.sa/en/Guide?tags=2#framework-on-the-use-of-real-world-data-rwd-and-real-world-evidence-rwe-to-suppo,https://www.sfda.gov.sa/sites/default/files/2026-04/Framework%20on%20the%20use%20of%20RWD%20and%20RWE-Final%20%282%29.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.085606+00:00,data\raw_pdfs\framework-on-the-use-of-real-world-data-rwd-and-real-world-evidence-rwe-to-support-effectiveness-and-safety-for-marketin.pdf,f5c944ce5e757b16460e7534d1c6ee0a588f48f3ec4e19dbe72c0d5deff063cb,data\extracted_text\framework-on-the-use-of-real-world-data-rwd-and-real-world-evidence-rwe-to-support-effectiveness-and-safety-for-marketin.txt
Guideline on good pharmacovigilance practices(GVP)Product- or Population-Specific Considerations III: Advanced Therapy Medicinal Products,Drugs,Guide,2026-04-12,https://www.sfda.gov.sa/en/Guide?tags=2#guideline-on-good-pharmacovigilance-practices-gvp-product-or-population-specific,https://www.sfda.gov.sa/sites/default/files/2026-04/GVPIII.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.099835+00:00,data\raw_pdfs\guideline-on-good-pharmacovigilance-practices-gvp-product-or-population-specific-considerations-iii-advanced-therapy-med.pdf,6681100ccb5c7858c07bc7f1c272e65b3f6a13215e6e9d03dbffdeb4a7fe8275,data\extracted_text\guideline-on-good-pharmacovigilance-practices-gvp-product-or-population-specific-considerations-iii-advanced-therapy-med.txt
Research and Investigational Drugs (RAID) Designation,Drugs,Guide,2026-04-02,https://www.sfda.gov.sa/en/Guide?tags=2#research-and-investigational-drugs-raid-designation,https://www.sfda.gov.sa/sites/default/files/2026-04/RAID.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.107629+00:00,data\raw_pdfs\research-and-investigational-drugs-raid-designation.pdf,80385eb1141e24c95a840cc6b3203be0468ff76913b68a0583bda464c798239d,data\extracted_text\research-and-investigational-drugs-raid-designation.txt
Guidelines for Variation Requirements,Drugs,Guide,2026-03-31,https://www.sfda.gov.sa/en/Guide?tags=2#guidelines-for-variation-requirements,https://www.sfda.gov.sa/sites/default/files/2026-03/Variation64_1.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.109555+00:00,data\raw_pdfs\guidelines-for-variation-requirements.pdf,dc90690ae61c4b01e0fdd3d528ea1f52589b65957952a5faa1687d8c83c9fd43,data\extracted_text\guidelines-for-variation-requirements.txt
Guidelines for Chemical and Pharmaceutical Quality Documentation of Small Molecules Investigational Product in Clinical Trial,Drugs,Guide,2026-03-09,https://www.sfda.gov.sa/en/Guide?tags=2#guidelines-for-chemical-and-pharmaceutical-quality-documentation-of-small-molecu,https://www.sfda.gov.sa/sites/default/files/2026-03/CPQDSMPCT_0.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.119578+00:00,data\raw_pdfs\guidelines-for-chemical-and-pharmaceutical-quality-documentation-of-small-molecules-investigational-product-in-clinical-.pdf,919946d4baca612e0c391bf83686eacc53e27db14ffd3c8cb036cfd0772a4953,data\extracted_text\guidelines-for-chemical-and-pharmaceutical-quality-documentation-of-small-molecules-investigational-product-in-clinical-.txt
Clinical Considerations for Vaccines,Drugs,Guide,2026-02-02,https://www.sfda.gov.sa/en/Guide?tags=2#clinical-considerations-for-vaccines,https://www.sfda.gov.sa/sites/default/files/2026-02/ClinicalConsiderationsVaccinesV2_1.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.125359+00:00,data\raw_pdfs\clinical-considerations-for-vaccines.pdf,842304a6ccceef37a7f1b83136ec840bc764c4f08630a0c23a2db191dc933851,data\extracted_text\clinical-considerations-for-vaccines.txt
Economic Evaluation Studies Guidelines,Drugs,Guide,2025-10-21,https://www.sfda.gov.sa/en/Guide?tags=2#economic-evaluation-studies-guidelines,https://www.sfda.gov.sa/sites/default/files/2025-10/EconomicEvaluationStudies_1.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.125359+00:00,data\raw_pdfs\economic-evaluation-studies-guidelines.pdf,86163ca5f4f24830b8d833c10f7f05d59431939c08cb10e57b2c8c831c5210da,data\extracted_text\economic-evaluation-studies-guidelines.txt
Approach of Dealing with Patents When Register Generic Drugs in SFDA,Drugs,Guide,2025-10-08,https://www.sfda.gov.sa/en/Guide?tags=2#approach-of-dealing-with-patents-when-register-generic-drugs-in-sfda,https://www.sfda.gov.sa/sites/default/files/2025-10/D2811E.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.136209+00:00,data\raw_pdfs\approach-of-dealing-with-patents-when-register-generic-drugs-in-sfda.pdf,2faae03b0ebedca02412324b91c9328211b7f767b2b98e758b0dfd5e89d3b061,data\extracted_text\approach-of-dealing-with-patents-when-register-generic-drugs-in-sfda.txt
Guideline for Testing of Residual Formaldehyde,Drugs,Guide,2025-09-30,https://www.sfda.gov.sa/en/Guide?tags=2#guideline-for-testing-of-residual-formaldehyde,https://www.sfda.gov.sa/sites/default/files/2025-09/TestingResidualFormaldehyde.pdf,en,https://www.sfda.gov.sa/en/Guide?tags=2,2026-05-16T03:56:27.142411+00:00,data\raw_pdfs\guideline-for-testing-of-residual-formaldehyde.pdf,3e6cbe4757b52ca4440ad28d5dbef81c57c5daf0b9f03c9d2431007c6d6b4922,data\extracted_text\guideline-for-testing-of-residual-formaldehyde.txt
"Requirements for Clearance of Medicines, Pharmaceutical Preparations, Medical Devices , Medical Supplies and Food Supplies for the Use of Pilgrims",Drugs,Procedural rule,2026-04-01,https://www.sfda.gov.sa/en/regulations?tags=2#requirements-for-clearance-of-medicines-pharmaceutical-preparations-medical-devi,https://www.sfda.gov.sa/sites/default/files/2026-04/SFDAHajj1447E.pdf,en,https://www.sfda.gov.sa/en/regulations?tags=2,2026-05-16T03:56:54.292681+00:00,data\raw_pdfs\requirements-for-clearance-of-medicines-pharmaceutical-preparations-medical-devices-medical-supplies-and-food-supplies-f.pdf,2ccf04a128a6cf0bd26ad6c06c947c7ea4eb169c862f5fb098123dbff1dee80c,data\extracted_text\requirements-for-clearance-of-medicines-pharmaceutical-preparations-medical-devices-medical-supplies-and-food-supplies-f.txt
